year,results
1970,1950
1971,1550
1972,1500
1973,1470
1974,1720
1975,1720
1976,1770
1977,1920
1978,2040
1979,1910
1980,3720
1981,2030
1982,2320
1983,2360
1984,2770
1985,2880
1986,3140
1987,3490
1988,3630
1989,3910
1990,9840
1991,3870
1992,5260
1993,5740
1994,6560
1995,7240
1996,7390
1997,7250
1998,10200
1999,11200
2000,13600
2001,13700
2002,15000
2003,18300
2004,17500
2005,24300
2006,25700
2007,24600
2008,38500
2009,43000
2010,51700
2011,66600
2012,79800
2013,87500
2014,83400
2015,80400
2016,74500
2017,74600
2018,73200
2019,69400
2020,62900
2021,56300
2022,54700
